"num","productNum","billToName","qty","qtyonhand","QTYONORDERPO","QTYONORDERTO","qtyonordertotal","soitemstatusId","sostatusId","pickitemstatusId","soitemtypeId","dateLastModified","note"
"195362","HIK-DS-2CD7A26G0/P-IZS(2.8-12mm)","BLUE FORCE PTY LTD","1.000000000","3.0","0.0","0.0","0.0","20","25","40","10","2020-09-01 13:39:18.218",
"195362","HIK-DS-2CD7A26G0/P-IZS(2.8-12mm)","BLUE FORCE PTY LTD","1.000000000","3.0","0.0","0.0","0.0","20","25","30","10","2020-09-01 13:39:18.218",
"200468","HIK-DS-KD-ACW3","NOMINEES PTY LTD T/A NORTH STAR SECURITY","1.000000000","5.0","8.0","0.0","8.0","20","25","30","10","2020-08-31 15:46:48.999",
"200468","HIK-DS-KD8003-IME2","NOMINEES PTY LTD T/A NORTH STAR SECURITY","1.000000000","1.0","14.0","0.0","14.0","20","25","30","10","2020-08-31 15:46:49.014",
"200468","HIK-DS-KD-KP","NOMINEES PTY LTD T/A NORTH STAR SECURITY","1.000000000","18.0","18.0","0.0","18.0","20","25","30","10","2020-08-31 15:46:49.025",
"200468","HIK-DS-KD-DIS","NOMINEES PTY LTD T/A NORTH STAR SECURITY","1.000000000","4.0","8.0","0.0","8.0","20","25","30","10","2020-08-31 15:46:49.035",
"200468","HIK-DS-KAD706","NOMINEES PTY LTD T/A NORTH STAR SECURITY","9.000000000","13.0","10.0","0.0","10.0","20","25","30","10","2020-08-31 15:46:49.045",
"200468","HIK-DS-KAD706","NOMINEES PTY LTD T/A NORTH STAR SECURITY","3.000000000","13.0","10.0","0.0","10.0","20","25","30","10","2020-08-31 15:46:49.045",
"200468","HIK-DS-KAD706","NOMINEES PTY LTD T/A NORTH STAR SECURITY","1.000000000","13.0","10.0","0.0","10.0","20","25","30","10","2020-08-31 15:46:49.045",
"200468","HIK-DS-KAW60-2N","NOMINEES PTY LTD T/A NORTH STAR SECURITY","13.000000000","26.0","10.0","0.0","10.0","20","25","30","10","2020-08-31 15:46:49.064",
"200468","HIK-DS-7732NI-I4-16P-3TB","NOMINEES PTY LTD T/A NORTH STAR SECURITY","1.000000000","29.0","0.0","0.0","0.0","20","25","30","10","2020-08-31 15:46:49.105",
"200468","HDD-WD-P-3TB","NOMINEES PTY LTD T/A NORTH STAR SECURITY","1.000000000","37.0","4.0","0.0","4.0","20","25","30","10","2020-08-31 15:46:49.115",
"200468","HIK-DS-2CD2165G0-I-2","NOMINEES PTY LTD T/A NORTH STAR SECURITY","12.000000000","188.0","0.0","0.0","0.0","20","25","30","10","2020-08-31 15:46:49.126",
"200468","HIK-DS-K2210","NOMINEES PTY LTD T/A NORTH STAR SECURITY","1.000000000","9.0","0.0","0.0","0.0","20","25","30","10","2020-08-31 15:46:49.085",
"200468","HIK-DS-K2M0016A","NOMINEES PTY LTD T/A NORTH STAR SECURITY","1.000000000","9.0","0.0","0.0","0.0","20","25","30","10","2020-08-31 15:46:49.095",
"200468","BRA-1280ZJ-DM18","NOMINEES PTY LTD T/A NORTH STAR SECURITY","1.000000000","24.0","40.0","0.0","40.0","20","25","30","10","2020-08-31 15:46:49.136",
"200468","HIK-DS-2CD2365G1-I-2","NOMINEES PTY LTD T/A NORTH STAR SECURITY","1.000000000","674.0","270.0","0.0","270.0","20","25","30","10","2020-08-31 15:46:49.147",
"200468","BRA-1280ZJ-DM21","NOMINEES PTY LTD T/A NORTH STAR SECURITY","1.000000000","52.0","218.0","0.0","218.0","20","25","30","10","2020-08-31 15:46:49.157",
"200468","HIK-DS-3E0105P-E","NOMINEES PTY LTD T/A NORTH STAR SECURITY","1.000000000","5.0","90.0","0.0","90.0","20","25","30","10","2020-08-31 15:46:49.167",
"200468","HIK-DS-KH6320-WTE2-WHITE","NOMINEES PTY LTD T/A NORTH STAR SECURITY","35.000000000","49.0","0.0","0.0","0.0","20","25","30","10","2020-08-31 15:46:49.075",
"201372","HIK-DS-MP5604N","21ST CENTURY BUSINESS","1.000000000","2.0","10.0","0.0","10.0","20","25","30","10","2020-09-03 17:22:11.746",
"201372","HIK-DS-2XM6756FWD-IS-2.8","21ST CENTURY BUSINESS","2.000000000","0.0","0.0","0.0","0.0","10","25","5","10","2020-09-03 17:22:11.769",
"201372","HDD-SAM-MZ-76E1T0BW-1TB","21ST CENTURY BUSINESS","2.000000000","0.0","0.0","0.0","0.0","10","25","5","10","2020-09-03 17:22:11.772",
"202071","HIK-DS-7616NI-I2-16P-3TB","Digital Video Recording Systems Australia","1.000000000","15.0","44.0","16.0","60.0","20","25","30","10","2020-09-03 16:41:50.544",
"202071","HIK-DS-2CD2365G1-I-2","Digital Video Recording Systems Australia","14.000000000","674.0","270.0","0.0","270.0","20","25","30","10","2020-09-03 16:41:50.553",
"202071","BRA-1280ZJ-DM21","Digital Video Recording Systems Australia","14.000000000","52.0","218.0","0.0","218.0","20","25","30","10","2020-09-03 16:41:50.561",
"202217","UB-LOCOM5","CRUSADER SECURITY","2.000000000","21.0","0.0","0.0","0.0","20","25","30","10","2020-08-27 16:51:00.562",
"202217","UB-NHU-ETH-SP-G2","CRUSADER SECURITY","2.000000000","17.0","0.0","0.0","0.0","20","25","30","10","2020-08-27 16:51:00.571",
"202217","Labour-Cameras","CRUSADER SECURITY",,"0.0","0.0","0.0","0.0","10","25",,"10","2020-05-21 10:04:40.641",
"202217","UB-AM","CRUSADER SECURITY","2.000000000","28.0","0.0","0.0","0.0","20","25","30","10","2020-08-27 16:51:00.58",
"202217","HIK-DS-3E0105P-E","CRUSADER SECURITY","1.000000000","5.0","90.0","0.0","90.0","20","25","30","10","2020-08-27 16:51:00.551",
"202217","HIK-DS-2CD2665G1-IZS","CRUSADER SECURITY","2.000000000","113.0","78.0","72.0","150.0","20","25","30","10","2020-08-27 16:51:00.59",
"202217","BRA-1280ZJ-S","CRUSADER SECURITY","2.000000000","52.0","40.0","0.0","40.0","20","25","30","10","2020-08-27 16:51:00.599",
"202577L","HIK-DS-2DE4A220IW-DE","PROTECT WEST SECURITY","1.000000000","0.0","0.0","0.0","0.0","10","20","5","10","2020-08-25 14:35:16.423","769019306"
"203004","HDD-WD-P-3TB","PROTECT WEST SECURITY",,"37.0","4.0","0.0","4.0","10","25",,"20","2020-05-28 17:43:54.506",
"203835","DELL-SERVER-R340-4BAY","BLUE FORCE PTY LTD","1.000000000","0.0","0.0","1.0","1.0","10","20","10","10","2020-09-01 14:51:47.845","2x600GB HDD Upgrade"
"204473","HIK-DS-2CD6825G0/C-IVS","CORPCLOUD PTY LTD","1.000000000","0.0","2.0","0.0","2.0","10","20","5","10","2020-06-12 15:04:26.772",
