num,productNum,billToName,qty,qtyonhand,qtyonorderpo,qtyonorderto,qtyonordertotal,soitemstatusId,sostatusId,pickitemstatusId,soitemtypeId,dateLastModified
208513,DELL-HDD-NLSAS-12TB-14G,TECH WEST,2,0,0,0,0,10,25,5,10,19/08/2020
208513,MILE-PLUS-PRO-XPPPLUSDL,TECH WEST,,0,0,0,0,10,25,,12,19/08/2020
208513,MILE-PLUS-PRO-YXPPPLUSDL,TECH WEST,,0,0,0,0,10,25,,12,19/08/2020
208513,DELL-HDD-NLSAS-12TB-14G,TECH WEST,1,0,0,0,0,10,25,5,10,19/08/2020
208513,MILE-PLUS-PRO-XPPPLUSDL,TECH WEST,,0,0,0,0,10,25,,12,19/08/2020
208513,MILE-PLUS-PRO-YXPPPLUSDL,TECH WEST,,0,0,0,0,10,25,,12,19/08/2020
208853,HIK-DS-KAB671-B,21ST CENTURY BUSINESS,,0,3,0,3,10,25,,12,29/07/2020
208853,FREIGHT,21ST CENTURY BUSINESS,1,0,1,0,1,10,25,10,10,29/07/2020
208898,HIK-DS-7604NI-K1-4P-2TB,COURT SECURITY,,33,28,0,28,10,20,,20,28/07/2020
208898,HIK-DS-2CD2385G1-I-2,COURT SECURITY,,83,270,0,270,10,20,,20,28/07/2020
208898,HIK-DS-2CD2385G1-I-4,COURT SECURITY,,30,3,0,3,10,20,,20,28/07/2020
209020,PL-MGBTSX,PRESTIGE ALARMS,,1,0,0,0,10,25,,12,29/07/2020
209443 - Lucent,HIK-DS-KD-ACF3,BLUE FORCE PTY LTD,1,1,4,0,4,20,25,30,10,21/08/2020
209443 - Lucent,HIK-DS-KD8003-IME1,BLUE FORCE PTY LTD,1,7,23,0,23,20,25,30,10,21/08/2020
209443 - Lucent,HIK-DS-KD-DIS,BLUE FORCE PTY LTD,1,4,8,0,8,20,25,30,10,21/08/2020
209443 - Lucent,HIK-DS-KD-KP,BLUE FORCE PTY LTD,1,4,28,0,28,10,25,10,10,14/08/2020
209443 - Lucent,HIK-DS-KH6320-WTE1-WHITE,BLUE FORCE PTY LTD,20,80,20,0,20,30,25,40,10,21/08/2020
209443 - Lucent,HIK-DS-KH6320-WTE1-WHITE,BLUE FORCE PTY LTD,19,80,20,0,20,30,25,30,10,21/08/2020
209443 - Lucent,DLINK-DES-F1010P-E,BLUE FORCE PTY LTD,7,34,0,0,0,20,25,30,10,21/08/2020
209443 - Lucent,DLINK-DES-F1006P-E,BLUE FORCE PTY LTD,1,5,0,0,0,20,25,30,10,21/08/2020
209443 - Lucent,HIK-DS-K2210,BLUE FORCE PTY LTD,2,8,0,0,0,20,25,30,10,21/08/2020
209443 - Lucent,HIK-DS-K2M0016A,BLUE FORCE PTY LTD,2,8,0,0,0,20,25,30,10,21/08/2020
209443 - Lucent,POW32,BLUE FORCE PTY LTD,1,1,0,0,0,20,25,30,10,21/08/2020
209443 - Lucent,POW32,BLUE FORCE PTY LTD,1,1,0,0,0,20,25,5,10,21/08/2020
209443 - Lucent,HIK-DS-9632NI-I8-4TB,BLUE FORCE PTY LTD,1,4,6,0,6,20,25,30,10,21/08/2020
209443 - Lucent,HIK-DS-2CD2555FWD-I-2,BLUE FORCE PTY LTD,1,35,80,0,80,20,25,30,10,21/08/2020
209443 - Lucent,HDD-WD-P-4TB,BLUE FORCE PTY LTD,1,24,0,0,0,20,25,30,10,21/08/2020
209443 - Lucent,HIK-DS-3E1326P-E,BLUE FORCE PTY LTD,1,5,12,0,12,20,25,30,10,21/08/2020
209443 - Lucent,HIK-DS-2CD2165G0-I-2,BLUE FORCE PTY LTD,18,195,0,0,0,20,25,30,10,21/08/2020
209521,HIK-DS-7616NI-I2-16P-3TB,BLUE FORCE PTY LTD,1,19,44,0,44,20,25,30,10,21/08/2020
209521,HDD-WD-P-3TB,BLUE FORCE PTY LTD,1,38,4,0,4,20,25,30,10,21/08/2020
209521,HIK-DS-2CD2765G1-IZS,BLUE FORCE PTY LTD,10,140,112,0,112,20,25,30,10,21/08/2020
209521,HIK-DS-KD-ACW3,BLUE FORCE PTY LTD,1,5,8,0,8,20,25,30,10,21/08/2020
209521,HIK-DS-KD8003-IME1,BLUE FORCE PTY LTD,1,7,23,0,23,20,25,30,10,21/08/2020
209521,HIK-DS-KD-KP,BLUE FORCE PTY LTD,1,4,28,0,28,20,25,30,10,21/08/2020
209521,HIK-DS-KD-DIS,BLUE FORCE PTY LTD,1,4,8,0,8,20,25,30,10,21/08/2020
209521,HIK-DS-KH6320-WTE1-WHITE,BLUE FORCE PTY LTD,49,80,20,0,20,20,25,30,10,21/08/2020
209521,HIK-DS-K2210,BLUE FORCE PTY LTD,2,8,0,0,0,20,25,30,10,21/08/2020
